Epoch,X,Y,Z,VX,VY,VZ
epoch_1,9.487022255787645E+07,-1.185494021235140E+08,6.844814914941788E+03,2.276940856870819E+01,1.850999671336409E+01,-4.526144764449569E-04
epoch_2,9.682389073539323E+07,-1.169335035718511E+08,6.797203121528029E+03,2.245336153159758E+01,1.889413645751922E+01,-6.545790934353590E-04
epoch_3,9.874998755615029E+07,-1.152846559690291E+08,6.730928104422987E+03,2.213120761943302E+01,1.927269919946422E+01,-8.834535882540351E-04
epoch_4,1.006479917919831E+08,-1.136033428607550E+08,6.643980112187564E+03,2.180309457645797E+01,1.964564737764260E+01,-1.131820402834549E-03
epoch_5,1.025173948383650E+08,-1.118900505620844E+08,6.535026167415082E+03,2.146916675396871E+01,2.001295511607207E+01,-1.391374676777524E-03
epoch_6,1.043577003459771E+08,-1.101452669703323E+08,6.403500918217003E+03,2.112956283764569E+01,2.037461233391382E+01,-1.652605275599406E-03
epoch_7,1.061684235149063E+08,-1.083694800452931E+08,6.249720479473472E+03,2.078441028953783E+01,2.073062805974802E+01,-1.904606868143865E-03
epoch_8,1.079490897729345E+08,-1.065631761021592E+08,6.075001153528690E+03,2.043381676730092E+01,2.108103112933821E+01,-2.135181820388965E-03
epoch_9,1.096992326241467E+08,-1.047268382259980E+08,5.881751414537430E+03,2.007785981982175E+01,2.142586638737891E+01,-2.331377113835131E-03
epoch_10,1.114183906200869E+08,-1.028609452573281E+08,5.673495924167335E+03,1.971657739738659E+01,2.176518516593808E+01,-2.480520339367409E-03
epoch_11,1.131061036667156E+08,-1.009659718421225E+08,5.454791164770722E+03,1.934996254389266E+01,2.209903040188479E+01,-2.571660891186767E-03
epoch_12,1.147619091661766E+08,-9.904238991619962E+07,5.231008565291762E+03,1.897796526370512E+01,2.242741890819568E+01,-2.597135889612190E-03
epoch_13,1.163853386784296E+08,-9.709067169709201E+07,5.007991060063243E+03,1.860050264572354E+01,2.275032496449595E+01,-2.553866780926839E-03
epoch_14,1.179759157640920E+08,-9.511129388168499E+07,4.791622277088463E+03,1.821747558879026E+01,2.306766940627395E+01,-2.444041020757126E-03
epoch_15,1.195331554266624E+08,-9.310474245492038E+07,4.587369479075074E+03,1.782878838982928E+01,2.337931656523630E+01,-2.275035101938272E-03
epoch_16,1.210565652223383E+08,-9.107151742399806E+07,4.399863218404353E+03,1.743436716205890E+01,2.368507881646344E+01,-2.058673698716262E-03
epoch_17,1.225456478071807E+08,-8.901213690333270E+07,4.232561328999698E+03,1.703417439936599E+01,2.398472663462693E+01,-1.810061692630427E-03
epoch_18,1.239999045392006E+08,-8.692714018295351E+07,4.087523509964347E+03,1.662821881069648E+01,2.427800170065946E+01,-1.546225626972486E-03
epoch_19,1.254188397328538E+08,-8.481708959881145E+07,3.965305704589933E+03,1.621656066321551E+01,2.456463131807206E+01,-1.284716841050582E-03
epoch_20,1.268019651949193E+08,-8.268257113618244E+07,3.864973881267011E+03,1.579931298111242E+01,2.484434320711274E+01,-1.042254489695082E-03
epoch_21,1.281488046847344E+08,-8.052419376442370E+07,3.784230958521366E+03,1.537663856207164E+01,2.511687992809114E+01,-8.334777378955494E-04
epoch_22,1.294588979297501E+08,-7.834258758247423E+07,3.719642979774624E+03,1.494874267223095E+01,2.538201173583990E+01,-6.699188489864838E-04
epoch_23,1.307318038363215E+08,-7.613840098180003E+07,3.666939244348556E+03,1.451586188416685E+01,2.563954617164787E+01,-5.593421320337910E-04
epoch_24,1.319671026210017E+08,-7.391229718026949E+07,3.621349388297647E+03,1.407825059624381E+01,2.588933283130666E+01,-5.055615128455315E-04
epoch_25,1.331643967614491E+08,-7.166495057848676E+07,3.577934763696045E+03,1.363616761885544E+01,2.613126272370780E+01,-5.087454720804629E-04
epoch_26,1.343233108799389E+08,-6.939704338080508E+07,3.531876264117658E+03,1.318986523041452E+01,2.636526303170250E+01,-5.660915637974995E-04
epoch_27,1.354434908478899E+08,-6.710926280109887E+07,3.478695019952953E+03,1.273958224288230E+01,2.659128918778221E+01,-6.726693749001811E-04
epoch_28,1.365246024788204E+08,-6.480229898767558E+07,3.414400606431067E+03,1.228554135263135E+01,2.680931651028273E+01,-8.222241988882217E-04
epoch_29,1.375663301515884E+08,-6.247684362084329E+07,3.335577251337469E+03,1.182794997858155E+01,2.701933324475602E+01,-1.007789814234883E-03
epoch_30,1.385683756083634E+08,-6.013358900911143E+07,3.239428227301687E+03,1.136700322150514E+01,2.722133609417869E+01,-1.222037962776312E-03
epoch_31,1.395304570468158E+08,-5.777322744944291E+07,3.123801755115390E+03,1.090288747970807E+01,2.741532858231355E+01,-1.457360719124168E-03
