#,Name,Date,Diameter (m),Velocity (km/s),Miss Dist. (km),Orbiting Body,Inclination (deg),Eccentricity,Hazardous
1,(2007 TR68),2025-09-28,N/A,7.12,"17,557,806",Earth,N/A,N/A,FINE
2,(2011 DV),2025-09-28,N/A,6.11,"22,164,403",Earth,N/A,N/A,!DANGER!
3,(2013 ST19),2025-09-28,N/A,11.97,"18,915,604",Earth,N/A,N/A,FINE
4,(2017 BB7),2025-09-28,N/A,10.03,"20,337,922",Earth,N/A,N/A,FINE
5,(2019 FY1),2025-09-28,N/A,3.97,"29,419,144",Earth,N/A,N/A,FINE
6,(2019 SF6),2025-09-28,N/A,8.44,"7,655,249",Earth,N/A,N/A,FINE
7,(2020 SR6),2025-09-28,N/A,19.74,"67,962,783",Earth,N/A,N/A,FINE
8,(2020 UM5),2025-09-28,N/A,18.99,"31,208,527",Earth,N/A,N/A,FINE
9,(2021 TS15),2025-09-28,N/A,12.00,"35,503,767",Earth,N/A,N/A,FINE
10,(2022 PX),2025-09-28,N/A,17.11,"56,960,346",Earth,N/A,N/A,FINE
11,(2022 SU55),2025-09-28,N/A,9.76,"15,221,667",Earth,N/A,N/A,FINE
12,(2023 KJ4),2025-09-28,N/A,16.82,"51,742,746",Earth,N/A,N/A,FINE
13,(2023 VF5),2025-09-28,N/A,24.62,"65,646,599",Earth,N/A,N/A,FINE
14,(2024 TX2),2025-09-28,N/A,12.13,"62,466,905",Earth,N/A,N/A,FINE
15,(2025 NO),2025-09-28,N/A,7.35,"10,021,412",Earth,N/A,N/A,FINE
16,(2025 RV6),2025-09-28,N/A,8.65,"7,920,819",Earth,N/A,N/A,FINE
17,(2025 SA1),2025-09-28,N/A,8.72,"1,930,102",Earth,N/A,N/A,FINE
18,(2025 SS5),2025-09-28,N/A,7.96,"104,339",Earth,N/A,N/A,FINE
19,(2025 ST6),2025-09-28,N/A,20.51,"2,816,370",Earth,N/A,N/A,FINE
20,(2025 SP12),2025-09-28,N/A,16.54,"17,576,130",Earth,N/A,N/A,FINE
21,,,N/A,,,,,,
22,,,N/A,,,,,,
23,,,N/A,,,,,,
24,,,N/A,,,,,,
25,,,N/A,,,,,,
26,,,N/A,,,,,,
27,,,N/A,,,,,,
28,,,N/A,,,,,,
29,,,N/A,,,,,,
30,,,N/A,,,,,,
31,,,N/A,,,,,,
32,,,N/A,,,,,,
33,,,N/A,,,,,,
34,,,N/A,,,,,,
35,,,N/A,,,,,,
36,,,N/A,,,,,,
37,,,N/A,,,,,,
38,,,N/A,,,,,,
39,,,N/A,,,,,,
40,,,N/A,,,,,,
41,,,N/A,,,,,,
42,,,N/A,,,,,,
43,,,N/A,,,,,,
44,,,N/A,,,,,,
45,,,N/A,,,,,,
46,,,N/A,,,,,,
47,,,N/A,,,,,,
48,,,N/A,,,,,,
49,,,N/A,,,,,,
50,,,N/A,,,,,,
51,,,N/A,,,,,,
52,,,N/A,,,,,,
53,,,N/A,,,,,,
54,,,N/A,,,,,,
55,,,N/A,,,,,,
56,,,N/A,,,,,,
57,,,N/A,,,,,,
58,,,N/A,,,,,,
59,,,N/A,,,,,,
60,,,N/A,,,,,,
61,,,N/A,,,,,,
62,,,N/A,,,,,,
63,,,N/A,,,,,,
64,,,N/A,,,,,,
65,,,N/A,,,,,,
66,,,N/A,,,,,,
67,,,N/A,,,,,,
68,,,N/A,,,,,,
69,,,N/A,,,,,,
70,,,N/A,,,,,,
71,,,N/A,,,,,,
72,,,N/A,,,,,,
73,,,N/A,,,,,,
74,,,N/A,,,,,,
75,,,N/A,,,,,,
76,,,N/A,,,,,,
77,,,N/A,,,,,,
78,,,N/A,,,,,,
79,,,N/A,,,,,,
80,,,N/A,,,,,,
81,,,N/A,,,,,,
82,,,N/A,,,,,,
83,,,N/A,,,,,,
84,,,N/A,,,,,,
85,,,N/A,,,,,,
86,,,N/A,,,,,,
87,,,N/A,,,,,,
88,,,N/A,,,,,,
89,,,N/A,,,,,,
90,,,N/A,,,,,,
91,,,N/A,,,,,,
92,,,N/A,,,,,,
93,,,N/A,,,,,,
94,,,N/A,,,,,,
95,,,N/A,,,,,,
96,,,N/A,,,,,,
97,,,N/A,,,,,,
98,,,N/A,,,,,,
99,,,N/A,,,,,,
100,,,N/A,,,,,,
